PERSONAJE,GLOSA
Abrego,"Refiere a Gonzalo de Abreu o Gonzalo de Abreu y Figueroa nació en Sevilla, España, en 1530. Descendía de una familia ilustre. Abreu fue el primer gobernador designado directamente por el rey Felipe II de España, mediante real cédula en 1570, para suceder a Francisco de Aguirre. Estaba casado con Violante de Céspedes. Tomó posesión del cargo en 1574, luego de perseguir y ajusticiar a Jerónimo Luis de Cabrera. Fue destituido y apresado por el siguiente gobernador designado Hernando de Lerma. Falleció en la cárcel."
Abreu,"Refiere a Gonzalo de Abreu o Gonzalo de Abreu y Figueroa nació en Sevilla, España, en 1530. Descendía de una familia ilustre. Abreu fue el primer gobernador designado directamente por el rey Felipe II de España, mediante real cédula en 1570, para suceder a Francisco de Aguirre. Estaba casado con Violante de Céspedes. Tomó posesión del cargo en 1574, luego de perseguir y ajusticiar a Jerónimo Luis de Cabrera. Fue destituido y apresado por el siguiente gobernador designado Hernando de Lerma. Falleció en la cárcel."
Fray Pedro de la Torre,"Fray Pedro Fernández de la Torre, franciscano nacido en Baeza, España., hizo su solemne entrada en Asunción oficiar como primer Obispo del Paraguay, en la víspera del Domingo de Ramos del año 1555. Llega con la armada de Martín de Orue, portador del Nombramiento real de Martínez de Irala como Gobernador de aquella Provincia."
Juan Ortiz de Zàrate,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 -  Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de  1576) era un conquistador y colonizador español que reemplazó al  gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más  tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en  forma interina por disposición del virrey del Perú, el licenciado Lope  García de Castro, y confirmado para dos generaciones por el rey Felipe  II de España."
Juan Ortiz,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina."
Adelantado,"Refiere a Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Apolo,"Apolo es una de las deidades principales de la mitología griega, y uno de los dioses olímpicos más significativos. Hijo de Zeus y Leto, y gemelo de Artemisa, poseía muchos atributos y funciones, y posiblemente después de Zeus fue el dios más influyente y venerado de todos los de la Antigüedad clásica."
Melgarejo,"Refiere a Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Zàrate,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Rui Diaz,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
D. Rodrigo,"Refiere a Rodrigo Ortiz de Zárate (Valladolid, 1549 – Buenos Aires, septiembre de 1606) fue un militar, conquistador, colonizador y burócrata colonial español que como teniente de gobernador de Buenos Aires en forma intermitente por tres períodos entre 1581 y 1606, llegó a ocupar el cargo interino como gobernador rioplatense-paraguayo desde 1583 hasta 1584. Primo de Juan Ortiz de Zárate, con la expedición de este llegó a la región del Río de la Plata."
Febo,"Febo (en griego Φοῖβος, en latín Phoebus) es un apodo o epíteto del dios  Apolo en la mitología clásica.​ Probablemente significaba originalmente  ""brillante"". Los poetas clásicos latinos también aplicaban el apodo  Febo al dios sol, de ahí las referencias comunes en la poesía europea  posterior a Febo y su carro como una metáfora del sol. Pero en textos  mitológicos el dios-sol y Apolo no son por lo demás confundidos ni  identificados. Por ejemplo, en Las metamorfosis de Ovidio el héroe  Faetón es hijo de Febo el dios-sol, y no hijo de Apolo Febo.​"
Guaraní,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay."
Zaratino,"Refiere a Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Juan Ortiz,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Pablo Santiago,"Refiere a Pablo de Santiago, (Santiago de Ia Puebla, 1542 - Uruguay, 1573). Militar español, miembro de la expedición de Juan Ortiz de Zárate, que participó en el descubrimiento y conquista del Río de la Plata. Viajó con su mujer María de Sepúlveda (hija de Cosme de Onís e Isabel de Pineda, hermana de Juan de Pineda e Isabel de Valbuena. Isabel de Pineda e Isabel de Valbuena murieron antes de llegar a Santa Catalina, donde fueron enterradas)."
Gallegos,Refiere a personas provenientes de Galicia.
castellano,Refiere a personas provenientes de Castilla.
mulato,Refiere a las personas nacidas de la unión entre una persona blanca (de ascendencia española o europea) y una persona negra (de ascendencia negra africana).
Sargento mayor,"Refiere a Martin de Pinedo, sargento mayor de la expedición de Juan Ortíz de Zárate."
indio,
Rocha,"Refiere a un militar al mando de Juan Ortiz de Zárate, quien según el trabajo de José Soto Vázquez, desertó en el Puerto de Biaza y le costó la vida."
Vela,"Refiere a un militar al mando de Juan Ortiz de Zárate, quien según el trabajo de José Soto Vázquez, desertó en el Puerto de Biaza y le costó la vida."
Florentina,
Doña Catalina,
Aristoteles,"Aristóteles, filósofo, polímata y científico nacido en la ciudad de Estagira, al norte de Antigua Grecia. Es considerado junto a Platón, el padre de la filosofía occidental."
Adam,"Refiere a Adán, quien en la historia judeo-cristiana y en el Islam, fue el primer hombre creado por Dios sobre la Tierra. Fue Patriarca de Israel, sucedido por Noé, y se le considera además como un Profeta por el islam."
Sotomayor,"Refiere a Alonso de Sotomayor y Valmediano (Trujillo, 1545 - 1610), conquistador español, gobernador del Reino de Chile."
Eolo,"En la mitología griega, Eolo o Éolo (en griego Αἴολος) es el nombre de tres personajes distintos. Según la Odisea, este Eolo, Señor de los Vientos, vivía en la isla flotante de Eolia, con sus seis hijos y sus seis hijas, que se habían casado entre sí. Zeus le había dado el poder de controlar los vientos; Eolo los tenía encerrados y los gobernaba con un dominio absoluto, apresándolos o liberándolos a su antojo."
Febo,"Febo (en griego Φοῖβος, en latín Phoebus) es un apodo o epíteto del dios Apolo en la mitología clásica.​ Probablemente significaba originalmente ""brillante"". Los poetas clásicos latinos también aplicaban el apodo Febo al dios sol, de ahí las referencias comunes en la poesía europea posterior a Febo y su carro como una metáfora del sol. Pero en textos mitológicos el dios-sol y Apolo no son por lo demás confundidos ni identificados. Por ejemplo, en Las metamorfosis de Ovidio el héroe Faetón es hijo de Febo el dios-sol, y no hijo de Apolo Febo.​"
Dios,"Dios refiere a un ser supremo omnipotente, omnipresente, omnisciente y personal en religiones teístas y deístas, en esta obra refiere particularmente al catolicismo, como única deidad."
Satanás,"Refiere a Satanás o Satán, quien según las religiones abrahámicas representa una entidad negativa que seduce a los humanos al pecado o la falsedad. En el cristianismo y el Islam, generalmente se lo ve como a un ángel caído que solía poseer una gran piedad y belleza, sin embargo se terminó revelando ante Dios por lo cual fue desterrado al infierno, convirtiéndose en el gobernante y líder opositor al Reino de Dios. En el judaísmo, Satanás se considera una metáfora de ""inclinación al mal"", o como un agente subordinado a Dios."
San Pedro,"Simón Pedro (Betsaida, finales del siglo I a. C.-Roma, c. 67 d. C.), conocido también como san Pedro, Cefas o Pedro, fue, de acuerdo con múltiples pasajes neotestamentarios, uno de los discípulos más destacados de Jesús de Nazaret. Dado el prestigio del que gozó en la Iglesia primitiva, proliferaron también los ""escritos apócrifos"" centrados en su figura, como el Evangelio de Pedro, el Apocalipsis de Pedro, los Hechos de Pedro, los Hechos de Pedro y Pablo, entre otros."
diablo,Diablo es la personificación del mal tal como se concibe en diversas culturas y tradiciones religiosas. Se ve como la objetivación de una fuerza hostil y destructiva.
Zapicano,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573.​"
Charruahas,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Cacique,"Refiere a Zapicán, cacique charrúa."
Abayubá,"Refiere a cacique charrúa, sobrino de Zapicán."
Charruaha,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Charruahaes,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Melgarejo,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Guaranies,"Refiere a Los guaraníes o avá, según su autodenominación étnica original (que significa ""ser humano""), son un grupo de pueblos que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil, sureste de Bolivia y norte de Uruguay. El nombre significa en guaraní guerrero, ava que significa hombre y se pronuncia en forma grave entre los chiriguanos (ava guaraníes). Eran cultivadores selvícolas."
Cacique,"Refiere al cacique charrúa Zapicán o Zapicano (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573."
Zapicano,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573."
Abayubá,"Refiere al cacique charrúa, sobrino de Zapicán."
Zapican,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573."
Guaranì,"Los guaraníes se extendían, dividios entre distintas parcialidades, entre la costa brasileña y los contrafuertes andinos, teniendo además asentamientos en las islasdel Río Paraná y del delta del Río de la Plata. Cultivadores selvícolas, producían regulamente excedentes agrícolas que serían indispensables para el avance de la conquista española en el región."
Vergara,"Refiere a Pedro de Vergara, tesorero general de la expedición del adelantado Juan Ortíz de Zárate."
Abayuba,"Refiere al cacique charrúa, sobrino de Zapicán."
capitan,"Refiere a Pablo de Santiago o Pablos Santiago, originario de Santiago de la Puebla, fue capitán dentro de la expedición de Ortíz de Zárate, según varias fuentes se caracterizó por extremadamente justiciero y cruel. Tuvo una participación muy activa en los primeros lances con los indios charrúas."
Pablo Santiago,"Refiere a Pablo de Santiago o Pablos Santiago, originario de Santiago de la Puebla, fue capitán dentro de la expedición de Ortíz de Zárate, según varias fuentes se caracterizó por extremadamente justiciero y cruel. Tuvo una participación muy activa en los primeros lances con los indios charrúas."
Sargento Mayor,"Refiere a Martín de Pinedo, sargento mayor de la expedición de Ortíz de Zárate."
Martin Pinedo,"Refiere a Martín de Pinedo, sargento mayor de la expedición de Ortíz de Zárate."
Roldan,Refiere a Juan Giménez Roldan. Nacido en Cáceres en 1547. Pasó como labrador al Río de La Plata en la expedición de Ortiz de Zárate en 1573.
Santiago,"Refiere a Pablo de Santiago o Pablos Santiago, originario de Santiago de la Puebla, fue capitán dentro de la expedición de Ortíz de Zárate, según varias fuentes se caracterizó por extremadamente justiciero y cruel. Tuvo una participación muy activa en los primeros lances con los indios charrúas."
Pinedo,"Refiere a Martín de Pinedo, sargento mayor de la expedición de Ortíz de Zárate."
zapicano,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573."
Caytua,Indígena charrúa que acometió contra Martín de Pinedo.
Cheliplo,Indígena charrúa.
Melibon,Indígena charrúa
Taboba,Cacique charrúa.
Canillo,"Refiere a un tal Carrillo miembro de la expedición de Ortiz de Zárate, que fue abatido por Taboba, cacique de la región de las islas del Río de la Plata."
Pedro Gago,"Refiere a Pedro Gago o Pedro Gayo, originario de Logrosán, llegó al Río de la Plata en la expedición del Adelantado Ortiz de Zárate. Se distinguió en 1573 en la batalla contra los charrúas."
Buenrostro,"Refiere a Hernando Buenrostro, quien se batió contra los charrúas junto a Pablo de Santiago. Oriundo de Córdoba, España."
Arellano,"Refiere a Francisco de Arellano, miembro de la expedición de Ortiz de Zárate."
Capitan,"Refiere a Pablo de Santiago o Pablos Santiago, originario de Santiago de la Puebla, fue capitán dentro de la expedición de Ortíz de Zárate, según varias fuentes se caracterizó por extremadamente justiciero y cruel. Tuvo una participación muy activa en los primeros lances con los indios charrúas."
Benito,"Refiere a un miembro de la expedición de Juan Ortiz de Zarate, que acometió contra el capitán Pablo de Santiago durante el enfrentamiento contra los charrúas."
Domingo Larez,"Refiere a Domingo de Lares o Larez, criado de Juan Ortiz de Zárate, originario de Huete, fue capturado por los charrúas durante el enfrentamiento."
Zapicanos,Refiere a los indígenas charrúas.
Capitan Pueyo,"Refiere a Francisco del Pueyo de Alfaro, soldado español que partió en 1573 desde Sevilla en la armada de Ortiz de Zárate."
Capitan,"Refiere a Francisco del Pueyo de Alfaro, soldado español que partió en 1573 desde Sevilla en la armada de Ortiz de Zárate."
Zapicán,Cacique charrúa
Juan de Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Gobernador del Río de la Plata y del Paraguay, fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de ""Ciudad de la Trinidad"", en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de "" Real de Nuestra Señora Santa María del Buen Ayre""."
Yamandù,"Yamandú, cacique guaraní chandul del delta del Paraná en época de la fundación de Santa Fé. Yamandú fue un líder y estratega guaraní de las islas del delta del Tigre, en el bajo Paraná, nacido en la primera mitad del siglo XVI, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa de origen netamente guaraní que tenía como objetivos promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y  gobernante colonial español. Gobernador del Río de la Plata y del  Paraguay, fundador de la ciudad de Santa Fe en 1573 en su primera  ubicación, por lo cual fue asignado al año siguiente como su teniente de  gobernador, para convertirse en 1577 en el teniente de gobernador  general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el  nombre de ""Ciudad de la Trinidad"", en el lugar donde en 1536 Pedro de  Mendoza había fundado un fuerte con el nombre de "" Real de Nuestra  Señora Santa María del Buen Ayre""."
Yamandú,"Cacique guaraní.|Yamandú, cacique guaraní chandul del delta del Paraná en época de la fundación de Santa Fé. Yamandú fue un líder y estratega guaraní de las islas del delta del Tigre, en el bajo Paraná, nacido en la primera mitad del siglo XVI, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa de origen netamente guaraní que tenía como objetivos promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Alonso Ontiveros,"Refiere a Alonso de Ontiveros, quien se cambió al bando de los charrúas. "
Rodrigo Diaz,
Rui Diaz Melgarejo,"Ruy Díaz de Melgarejo (1519 – 1602) fue un conquistador español establecido en la región del Río de la Plata. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de ""Ciudad de la Trinidad"", en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de "" Real de Nuestra Señora Santa María del Buen Ayre""."
Yanduballo,"Distintas estudios han demostrado que este hecho es una ficción del autor y según Ortiz Gambetta se habría inspirado en los personajes Glaura y Tegualda, la pareja de La Araucana."
Liropeya,"Distintas estudios han demostrado que este hecho es una ficción del autor y según Ortiz Gambetta se habría inspirado en los personajes Glaura y Tegualda, la pareja de La Araucana. Liropeya sería una joven indígena."
Rodrigo,Refiere a Rodrigo Díaz. 
Neptuno,"Refiere a Neptuno, dios de la mitología romana, proveniente de la griega, Poseidón, hijo de los dioses Saturno y Ops, hermano de Júpiter y Plutón. Gobierna todas las aguas y mares y cabalga las olas sobre caballos blancos."
Rui Diaz,"Refiere a Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Adelantado,"Refiere a uan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Rui Diaz Melgarejo,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más.|Ruy Díaz de Melgarejo (1519 – 1602) fue un conquistador español establecido en la región del Río de la Plata. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Abarorì,Cacique charrúa.
Tabobá,Cacique charrúa.
Vargas,"Cristobal Vargas, vecino de Trujillo que partió en el viaje de Ortiz de Zárate en 1573."
Cristoval,Refiere a un indígena aliado a los conquistadores.
Mora,Refiere a Francisco de Mora.
Loria,Refiere a Pedro de Loria.
Timbús,Los timbúes (nombre genérico dado por los guaraníes a los pueblos que se horadaban la nariz) fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en la República Argentina en el sur de la provincia de Santa Fe en torno a la desembocadura de los ríos Carcarañá y Coronda en el río Paraná y en el departamento Diamante de la provincia de Entre Ríos. Formaban parte del grupo de los chaná-timbúes (o grupo del Litoral).
Cherandiana,"Refiere a los querandíes. Querandíes, grupo étnico del noreste de la región pampeana de la actual Argentina al tiempo de la llegada de los primeros colonizadores europeos en el siglo XVI"
Gaboto,"Sebastián Caboto (1477-1557) fue piloto y explorador que sirvió a las coronas de España e Inglaterra. Entró al servicio de esta última en 1518 como piloto mayor y bajo sus auspicios realizó el viaje que lo llevaría a explorar el Río de la Plata. Si bien el propósito inicial de su expedición de 1526 era repetir la circunnavegación de Magallanes (tal y como consta en la capitulación que firmó con Carlos I), Caboto decidió alterar el rumbo de su armada atraído por las noticias recolectadas en la costa brasileña, que indicaban la existencia de una sierra argentífera remontando el río austral. Caboto y sus tripulantes exploraron la región hasta entrado 1529, cuando los ataques de los indios, los dudosos resultados de sus exploraciones y la falta de bastimentos lo obligarona a abandonar el Río de la Plata."
Yamandú,"Yamandú fue un líder y estratega guaraní de las islas del delta del Tigre, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa guaraní que tenía como objetivo promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Terú,Cacique timbú.
Terù,Cacique timbú.
Yamandù,Cacique guaraní.
Añanguazúu,Refiere a Añanguazú cacique de la región de las islas del Río de la Plata.
Maracopá,Cacique de la región de las islas del Río de la Plata.
Caraballo,"Distintas estudios han demostrado que este hecho es una ficción del autor y según Ortiz Gambetta se habría inspirado en los personajes Glaura y Tegualda, la pareja de La Araucana."
Caravallo,"Distintas estudios han demostrado que este hecho es una ficción del autor y según Ortiz Gambetta se habría inspirado en los personajes Glaura y Tegualda, la pareja de La Araucana."
Timbues,Los timbúes (nombre genérico dado por los guaraníes a los pueblos que se horadaban la nariz) fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en la República Argentina en el sur de la provincia de Santa Fe en torno a la desembocadura de los ríos Carcarañá y Coronda en el río Paraná y en el departamento Diamante de la provincia de Entre Ríos. Formaban parte del grupo de los chaná-timbúes (o grupo del Litoral).
Rui Diaz,"Ruy Díaz de Melgarejo (1519 – 1602) fue un conquistador español establecido en la región del Río de la Plata. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Salomon,"Salomón, también llamado Jedidías,​ personaje bíblico, figura en la Primera de Reyes y la Segunda de Crónicas. Según dicho escrito, fue el tercer y último gobernante de la Monarquía Unida, previo a la separación del territorio israelita en los reinos de Judá e Israel."
Zárate,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 - Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de 1576) era un conquistador y colonizador español que reemplazó al gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en forma interina por disposición del virrey del Perú, el licenciado Lope García de Castro, y confirmado para dos generaciones por el rey Felipe II de España."
Marte,Marte es considerado en la mitología romana como el dios de la guerra. La figura de esta deidad estuvo muy presente en las creencias y rituales del Antiguo Imperio.
Rui Diaz,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más.|Ruy Díaz de Melgarejo (1519 – 1602) fue un conquistador español establecido en la región del Río de la Plata. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Melgarejo,Refiere a Rui Diaz de Melgarejo
Grande Fuego,"Refiere a un indígena guaraní, karaí de la región."
Aguazó,"Refiere a Aguazú, karai guaraní."
Rui Diaz Melgarejo,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares. Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca. Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
